Coypel,121,13th arr.,1.6 miles,8,Very good,NA,2095
Residence Henri IV,258,5th arr.,0.6 miles,9,Superb,9.4,507
Hotel Trianon Rive Gauche,163,6th arr.,0.7 miles,8.3,Very good,NA,1808
The People Hostel - Paris 12,111,12th arr.,2.2 miles,9,Superb,NA,608
Le Damantin Hôtel & Spa,430,8th arr.,2.1 miles,9,Superb,9.5,362
Drawing Hotel,279,1st arr.,0.9 miles,8.9,Fabulous,9.6,857
CosyCocoon,NA,5th arr.,Metro access,8.9,Fabulous,9.5,35
Hotel Whistler,216,10th arr.,1.6 miles,9,Superb,NA,763
Sweet Hotel,110,12th arr.,2.6 miles,7.3,Good,NA,1175
La Villa Haussmann,251,8th arr.,2.1 miles,9,Superb,NA,777
Le 17,156,10th arr.,1.1 miles,7.7,Good,NA,1225
Hotel WO - Wilson Opera,177,8th arr.,2 miles,9,Superb,NA,301
Hotel De Suez,129,5th arr.,0.7 miles,8.3,Very good,9.4,1932
TOUR EIFFEL DUPLEIX Bartholdi,NA,15th arr.,Metro access,7,Good,NA,17
Hôtel Le Royal Monceau Raffles Paris,850,8th arr.,2.7 miles,9,Superb,9.4,98
Hôtel De Castiglione,135,8th arr.,1.7 miles,7.2,Good,NA,2178
25hours Hotel Terminus Nord,150,10th arr.,1.6 miles,8.9,Fabulous,NA,991
Relais Du Louvre,500,1st arr.,"2,800 feet",9,Superb,9.7,542
Renaissance Paris Republique Hotel & Spa,273,10th arr.,1 miles,8.7,Fabulous,NA,178
Hôtel du Ministère,231,8th arr.,1.8 miles,9,Superb,9.3,672
My Home For You Luxury B&B,NA,9th arr.,Metro access,9.5,Exceptional,9.6,328
Libertel Canal Saint Martin,99,19th arr.,2 miles,8.2,Very good,NA,2207
Hôtel des 3 Poussins,161,9th arr.,1.7 miles,9,Superb,9.3,795
Hôtel Louvre Piemont,263,1st arr.,0.9 miles,9,Superb,9.5,754
Moxy Paris Bastille,146,11th arr.,0.9 miles,8.1,Very good,NA,163
Sinner Paris,478,3rd arr.,"2,950 feet",9,Superb,9.7,12
"Radisson Blu Champs-Elysées, Paris",292,8th arr.,2.7 miles,7.3,Good,NA,525
Hotel Carlton's Montmartre,143,9th arr.,1.8 miles,7,Good,NA,1011
CMG Bastille/ Voltaire II,NA,11th arr.,Metro access,6.9,Review score,NA,38
Hotel Astra Opera - Astotel,189,9th arr.,1.5 miles,8.1,Very good,NA,502
Le Relais Madeleine,206,9th arr.,1.5 miles,8.7,Fabulous,9.3,479
Le Singulier,233,16th arr.,3.1 miles,9.1,Superb,9.4,295
Hotel Du Beaumont,150,18th arr.,2.1 miles,8.4,Very good,NA,917
Hotel de Paris Montmartre,133,17th arr.,2.3 miles,7.8,Good,NA,1737
Relais Hôtel du Vieux Paris,200,6th arr.,"2,300 feet",8.9,Fabulous,9.8,314
Luxury duplex - Marais,NA,3rd arr.,Metro access,6.3,Review score,10,3
Arioso,180,8th arr.,2 miles,8.4,Very good,NA,534
Hotel de Flore,120,18th arr.,2.5 miles,8.9,Fabulous,NA,1414
Résidence du Forum des Halles,168,1st arr.,"2,450 feet",8.1,Very good,NA,402
Hôtel Paris Bastille Boutet - MGallery,242,11th arr.,1.5 miles,8.6,Fabulous,NA,308
Hotel Studia,130,5th arr.,"2,600 feet",7.7,Good,9.4,585
Hotel Cambon,242,1st arr.,1.4 miles,8.5,Very good,9.3,237
Chic Apartments Opera,NA,2nd arr.,Metro access,9,Superb,9.7,88
Hotel Léna (ex. Hotel de l'Europe),106,10th arr.,1.5 miles,7.2,Good,NA,671
Hotel Magenta 38 by Happyculture,166,10th arr.,1.1 miles,8.2,Very good,NA,907
Le Pavillon Hotel,169,7th arr.,2 miles,8.8,Fabulous,9.5,437
Holiday Inn Express Paris-Canal De La Villette,120,19th arr.,2.5 miles,8.3,Very good,NA,1338
